0.060107,1.4917e-09
0.096954,3.6701e-09
0.1111,6.2992e-09
0.1679,1.1633e-08
0.21906,1.5914e-08
0.2816,2.2657e-08
0.29578,3.0997e-08
0.39816,3.7599e-08
0.46641,4.6845e-08
0.47776,5.722e-08
0.54884,7.6718e-08
0.61425,8.5339e-08
0.71385,7.1252e-08
0.81624,8.9358e-08
0.88732,1.1588e-07
1.0068,1.5431e-07
0.93276,2.002e-07
1.0636,2.0552e-07
1.1518,2.8871e-07
1.1944,3.4794e-07
1.2314,4.1654e-07
1.274,6.0912e-07
1.3535,9.1816e-07
1.3847,1.3074e-06
1.4615,1.7645e-06
1.495,0.00010882
1.586,0.00010879
1.8051,0.00010656
2.155,0.00010226
2.4224,0.00010354
1.0597,0.00010263
0.95731,9.6044e-05
0.85777,8.0243e-05
0.82933,7.5575e-05
0.77813,6.8849e-05
0.70703,6.0669e-05
0.63877,5.3104e-05
0.57622,4.2622e-05
0.4966,3.3088e-05
0.42265,2.8201e-05
0.37717,2.2633e-05
0.30608,1.8287e-05
0.2549,1.4677e-05
0.19236,1.0874e-05
0.1412,7.896e-06
0.098591,5.119e-06
0.058889,2.2094e-06
-0.091936,2.9644e-06
-0.13472,6.0526e-06
-0.149,8.6773e-06
-0.19741,1.2034e-05
-0.27996,1.6035e-05
-0.27146,2.0523e-05
-0.3426,2.3457e-05
-0.37391,2.5584e-05
-0.42229,2.8661e-05
-0.45645,3.2106e-05
-0.4906,3.4554e-05
-0.5219,3.6941e-05
-0.56743,4.0025e-05
-0.60158,4.3365e-05
-0.63573,4.6672e-05
-0.66989,5.1934e-05
-0.73251,6.2611e-05
-0.80649,6.8756e-05
-0.88048,7.8065e-05
-0.9687,9.4751e-05
-1.0426,8.4616e-05
-1.1365,7.1166e-05
-1.2901,6.2311e-05
-1.4551,5.0363e-05
-1.5404,4.2357e-05
-1.657,3.8084e-05
-1.7964,3.3567e-05
-2.0069,2.5897e-05
-2.1434,2.4563e-05
-2.2488,3.2084e-05
-2.3142,2.7897e-05
-2.3909,2.1802e-05
-2.5702,2.7368e-05
-2.5104,1.896e-05
-2.6042,1.3055e-05
-2.718,8.579e-06
-2.5672,7.9681e-06
-2.57,6.1023e-06
-2.4818,5.5197e-06
-2.3964,4.765e-06
-2.3309,4.225e-06
-2.2342,3.7209e-06
-2.146,2.9454e-06
-2.0834,2.6467e-06
-2.0265,2.4426e-06
-1.9781,2.2245e-06
-1.8956,1.9592e-06
-1.8073,1.6913e-06
-1.7476,1.4997e-06
-1.6764,1.3476e-06
-1.5854,1.1789e-06
-1.4886,9.9089e-07
-1.4061,8.4408e-07
-1.3293,6.7265e-07
-1.2951,6.2499e-07
-1.2496,5.542e-07
-1.1955,4.69e-07
-1.1073,3.9685e-07
-1.0105,3.2047e-07
-0.93367,2.73e-07
-0.8739,2.2345e-07
-0.81129,1.9035e-07
-0.77711,1.5375e-07
-0.72873,1.3275e-07
-0.68603,1.1385e-07
-0.64903,1.0231e-07
-0.58357,8.7744e-08
-0.53234,7.3271e-08
-0.47827,6.4538e-08
-0.40994,4.8435e-08
-0.34163,3.7333e-08
-0.33018,2.4199e-08
-0.25331,1.6431e-08
-0.21345,1.3096e-08
-0.14226,8.6007e-09
-0.099471,4.0471e-09
